id,spell,times used
1,Shield penetration spell,617
2,Dark mark counter-curse,467
3,Wingardium leviosa,229
4,Stupefy,217
5,Protego ,147
6,Avada Kedavra,114
7,Lumos,38
8,Expelliarmus,36
9,Expecto Patronum,17
10,Fire creating spell,14
